,pclass,sex,age,sibsp,parch,fare,survived
487,2,0,61.0,0,0,12.35,0
461,2,0,47.0,0,0,15.0,0
19,1,0,36.0,0,0,75.2417,0
786,3,0,18.0,0,0,7775.0,0
631,3,0,26.0,0,0,7775.0,0
561,2,0,59.0,0,0,13.5,0
1259,3,0,36.0,0,0,7.8958,0
601,3,0,13.0,0,2,20.25,0
497,2,0,40.0,0,0,16.0,0
15,1,0,24.0,0,0,25925.0,0
285,1,0,67.0,1,0,221.7792,0
269,1,0,18.0,0,0,26.0,0
156,1,0,42.0,0,0,42.5,0
847,3,0,23.5,0,0,7.2292,0
416,2,0,16.0,0,0,26.0,0
1288,3,0,18.0,1,0,6.4958,0
636,3,1,18.0,1,0,17.8,0
459,2,0,42.0,1,0,27.0,0
875,3,0,30.0,0,0,7.2292,0
914,3,0,33.0,0,0,7.8542,0
849,3,0,26.0,1,0,7.8542,0
1117,3,0,21.0,0,0,7925.0,0
692,3,1,18.5,0,0,7.2833,0
616,3,0,24.0,0,0,7.05,0
1227,3,1,22.0,0,0,9.8375,0
618,3,0,35.0,0,0,8.05,0
429,2,0,44.0,0,0,13.0,0
683,3,0,40.0,1,1,15.5,0
1136,3,1,38.0,0,0,8.1125,0
624,3,1,2.0,4,2,31275.0,0
267,1,0,56.0,0,0,30.6958,0
911,3,0,21.0,0,0,8.4333,0
814,3,0,25.0,0,0,7.7417,0
1091,3,1,20.0,0,0,8.6625,0
751,3,0,25.0,0,0,7.8958,0
303,1,0,64.0,1,0,75.25,0
729,3,0,35.0,0,0,7.8958,0
912,3,0,30.0,0,0,7.8958,0
1217,3,0,19.0,0,0,7.65,0
1005,3,0,15.0,0,0,15.5,0
579,2,0,23.0,1,0,10.5,0
1274,3,0,31.0,3,0,18.0,0
389,2,0,32.0,0,0,13.0,0
708,3,0,24.0,0,0,7.8542,0
556,2,0,27.0,0,0,26.0,0
826,3,0,1.0,5,2,46.9,0
1289,3,0,21.0,1,0,6.4958,0
649,3,0,23.0,0,0,7.05,0
77,1,0,37.0,1,1,83.1583,0
802,3,0,26.0,0,0,6.95,0
51,1,0,33.0,0,0,5.0,0
1206,3,0,4.0,3,2,27.9,0
1008,3,1,35.0,0,0,7.75,0
885,3,0,17.0,1,0,7.0542,0
476,2,0,30.0,1,1,26.0,0
636,3,1,18.0,1,0,17.8,0
950,3,0,29.0,0,0,9.4833,0
815,3,0,16.0,0,0,14.5,0
510,2,0,16.0,0,0,10.5,0
1102,3,0,7.0,4,1,39.6875,0
516,2,0,36.5,0,2,26.0,0
728,3,0,43.0,0,0,8.05,0
383,2,0,21.0,0,0,11.5,0
807,3,1,9.0,2,2,34375.0,0
1181,3,0,24.0,0,0,9325.0,0
1158,3,1,41.0,0,2,20.2125,0
1304,3,1,14.5,1,0,14.4542,0
1110,3,0,32.0,0,0,7.8958,0
456,2,1,60.0,1,0,26.0,0
416,2,0,16.0,0,0,26.0,0
650,3,1,17.0,0,0,14.4583,0
620,3,0,32.0,0,0,22525.0,0
891,3,0,33.0,0,0,8.6542,0
397,2,0,54.0,0,0,26.0,0
468,2,1,22.0,0,0,21.0,0
1008,3,1,35.0,0,0,7.75,0
878,3,1,25.0,1,0,7925.0,0
464,2,0,32.0,0,0,10.5,0
1279,3,1,14.0,0,0,7.8542,0
574,2,0,29.0,1,0,21.0,0
1281,3,0,22.0,0,0,9.0,0
1020,3,0,21.0,0,0,7.8958,0
1153,3,1,47.0,1,0,14.5,0
1153,3,1,47.0,1,0,14.5,0
